timestamp,open,high,low,close,volume
2022-09-01,258.8700,260.8900,255.4100,260.4000,23263431
2022-08-31,265.3900,267.1100,261.3300,261.4700,24791834
2022-08-30,266.6700,267.0500,260.6600,262.9700,22767071
2022-08-29,265.8500,267.4000,263.8500,265.2300,20121371
2022-08-26,279.0800,280.3400,267.9800,268.0900,27549307
2022-08-25,277.3300,279.0200,274.5200,278.8500,16583407
2022-08-24,275.4100,277.2300,275.1100,275.7900,18137019
2022-08-23,276.4400,278.8600,275.4000,276.4400,17527409
2022-08-22,282.0800,282.4600,277.2200,277.7500,25061070
2022-08-19,288.9000,289.2500,285.5600,286.1500,20570033
2022-08-18,290.1890,291.9100,289.0800,290.1700,17186192
2022-08-17,289.7400,293.3500,289.4700,291.3200,18253358
2022-08-16,291.9900,294.0400,290.4200,292.7100,18102882
2022-08-15,291.0000,294.1800,290.1100,293.4700,18085654
2022-08-12,288.4800,291.9100,286.9400,291.9100,22619675
2022-08-11,290.8500,291.2100,286.5100,287.0200,20065938
2022-08-10,288.1700,289.8100,286.9400,289.1600,24687845
2022-08-09,279.6400,283.0800,277.6100,282.3000,23405238
2022-08-08,284.0500,285.9200,279.3200,280.3200,18757818
2022-08-05,279.1500,283.6500,278.6800,282.9100,16774606
2022-08-04,281.8000,283.8000,280.1677,283.6500,18098668
2022-08-03,276.7600,283.5000,276.6100,282.4700,23518874
2022-08-02,276.0000,277.8900,272.3800,274.8200,22754184
2022-08-01,277.8200,281.2800,275.8400,278.0100,21539580
2022-07-29,277.7000,282.0000,276.6300,280.7400,32152752
2022-07-28,269.7500,277.8400,267.8700,276.4100,33459327
2022-07-27,261.1600,270.0500,258.8500,268.7400,45994049
2022-07-26,259.8600,259.8800,249.5700,251.9000,39347957
2022-07-25,260.9950,261.5000,256.8100,258.8300,21055998
2022-07-22,265.2400,265.3300,259.0700,260.3600,21881290
2022-07-21,259.7900,264.8900,257.0300,264.8400,22404675
2022-07-20,259.9000,264.8700,258.9100,262.2700,22788282
2022-07-19,257.5750,259.7200,253.6800,259.5300,25012562
2022-07-18,259.7500,260.8400,253.3000,254.2500,20975034
2022-07-15,255.7200,260.3699,254.7727,256.7200,29774050
2022-07-14,250.5700,255.1374,245.9400,254.0800,25102823
2022-07-13,250.1900,253.5500,248.1100,252.7200,29497423
2022-07-12,265.8800,265.9400,252.0400,253.6700,35868450
2022-07-11,265.6500,266.5300,262.1800,264.5100,19519108
2022-07-08,264.7900,268.1000,263.2850,267.6600,19658751
2022-07-07,265.1200,269.0550,265.0200,268.4000,20859874
2022-07-06,263.7500,267.9900,262.4000,266.2100,23824419
2022-07-05,256.1600,262.9800,254.7400,262.8500,22971634
2022-07-01,256.3900,259.7700,254.6100,259.5800,22837692
2022-06-30,257.0500,259.5300,252.9000,256.8300,31730868
2022-06-29,257.5900,261.9700,255.7600,260.2600,20069839
2022-06-28,263.9800,266.9100,256.3200,256.4800,27380247
2022-06-27,268.2050,268.3000,263.2800,264.8900,24615114
2022-06-24,261.8080,267.9800,261.7200,267.7000,33923231
2022-06-23,255.5700,259.3700,253.6300,258.8600,25861449
